,text,label
0,that is accurate,yes
4,certainly not,no
6,"yes, that's right",yes
13,that is incorrect,no
22,i vote yes,yes
33,can i ask your name,what_is_your_name
34,it could be either,maybe
51,what name do you go by,what_is_your_name
54,"thanks, bye",goodbye
61,how is everything with you,greeting
69,what are your favorite hobbies to take part in,what_are_your_hobbies
86,how do you say your name,what_is_your_name
92,how are you named,what_is_your_name
117,are you a person that's real,are_you_a_bot
134,please tell me the name i should use when talking to you,what_is_your_name
147,whats your name,what_is_your_name
153,what are some things you like doing,what_are_your_hobbies
164,it is time to say goodbye,goodbye
168,it is very much false,no
172,what's your age alexa,how_old_are_you
184,that's definitely false,no
190,how old is al,how_old_are_you
213,"talk to you soon, bye!",goodbye
222,i want to talk to you about your hobbies,what_are_your_hobbies
241,that appears true,yes
268,either of them could be i'm not sure,maybe
304,"maybe one, maybe the other",maybe
314,what do you do on off days,what_are_your_hobbies
347,signing off,goodbye
364,what do you go by,what_is_your_name
384,"hello, how are things",greeting
389,what things do you like to do,what_are_your_hobbies
394,you are wrong,no
397,"great talk, thanks",goodbye
403,could you tell me if you're a real person,are_you_a_bot
406,what's your age right now,how_old_are_you
423,nice to speak with you,goodbye
433,hello siri,greeting
461,your a bot aren't you,are_you_a_bot
468,that’s not correct,no
472,this was a nice conversation,goodbye
476,can i call you by any name,what_is_your_name
489,"um, i'm not quite sure",maybe
492,"thank you for chatting with me, bye",goodbye
500,false,no
523,thank you goodbye,goodbye
535,is is very much true,yes
541,i couldn't say,maybe
562,what are some of your hobbies,what_are_your_hobbies
570,tell me about your hobbies,what_are_your_hobbies
589,it was nice to talk it out with you,goodbye
591,"i don't like that, no",no
598,what are some of the hobbies you enjoy doing,what_are_your_hobbies
610,"ai, what is your name",what_is_your_name
621,are you doing okay,greeting
629,accepted,yes
633,absolutely correct,yes
648,good bye,goodbye
651,yes you are correct,yes
670,that's true,yes
674,how old,how_old_are_you
735,your birthday please,how_old_are_you
737,it could be one or the other,maybe
755,is your voice from a human or is it synthesized,are_you_a_bot
765,"hey, ai",greeting
798,what you age on your last birthday,how_old_are_you
811,not that one,no
819,hola!,greeting
826,tell me your full name,what_is_your_name
844,"hello, how are you doing",greeting
848,what's the name i should use to talk to you,what_is_your_name
856,"yup, that's true",yes
863,i can't say,maybe
871,thats a negative,no
886,ai how are you doing on this fine day,greeting
897,hey hey!,greeting
919,"true, most definitely",yes
923,what can i refer to you by,what_is_your_name
934,i don't know the answer to that,maybe
937,exactly right,yes
960,how old are you as of today,how_old_are_you
987,what you just said is wrong,no
989,what's should i call you by,what_is_your_name
1006,"syonara, ai device!",goodbye
1015,"a pleasure as always to speak with you, bye",goodbye
1048,i am not able to say,maybe
1066,"this was a nice chat, goodbye",goodbye
1104,what kinds of activities to you participate in during your free time,what_are_your_hobbies
1132,are you involved in hobbies,what_are_your_hobbies
1142,am i talking with a real person,are_you_a_bot
1158,what would you like me to call you,what_is_your_name
1163,"what do they call you, ai",what_is_your_name
1186,what name should i use when i call you,what_is_your_name
1221,i wanna know your hobbies,what_are_your_hobbies
1232,"no, don't do that",no
1239,peace,goodbye
1244,what are your interests,what_are_your_hobbies
1248,how's everything,greeting
1251,hey how old are you,how_old_are_you
1262,am i speaking with someone real,are_you_a_bot
1263,how many years are you,how_old_are_you
1266,i dont know,maybe
1280,"no, that information is wrong",no
1290,are you computer or human,are_you_a_bot
1303,are you a member or the human race or are you a computer program,are_you_a_bot
1312,what name do you want me to use,what_is_your_name
1377,who do i have the pleasure of speaking with,what_is_your_name
1407,tell me when you were born,how_old_are_you
