,text,label
75,i say negative,no
99,what kind of hobbies does the ai have,what_are_your_hobbies
119,are you a bot or a person,are_you_a_bot
133,that's not true,no
177,are you a real human,are_you_a_bot
192,how should i refer to you,what_is_your_name
193,"no, that is invalid",no
204,"are you ai, or a person",are_you_a_bot
224,how's it going right now,greeting
248,what do you do after work,what_are_your_hobbies
287,yep,yes
319,i couldn't say either could be possible,maybe
327,if you have hobbies tell me some of them,what_are_your_hobbies
336,ill see you around,goodbye
353,it was enjoyable to chat with you,goodbye
365,that is not true,no
381,were you born in the 80s,how_old_are_you
402,it might be either,maybe
403,hiya,greeting
410,what can i address you,what_is_your_name
426,tell me your name,what_is_your_name
464,unsure,maybe
471,why hello,greeting
523,might,maybe
541,i want your name,what_is_your_name
553,i can't decide,maybe
606,ok,yes
633,what is the year that were you born,how_old_are_you
663,see ya!,goodbye
690,"ai, how long have you been alive",how_old_are_you
711,i have to go but it was nice talking again!,goodbye
714,that would be great,yes
741,let me know when you were born,how_old_are_you
780,what are ai's hobbies,what_are_your_hobbies
814,i don't know the answer,maybe
818,nope,no
823,we'll talk later ai,goodbye
836,i'd like to know what to call you,what_is_your_name
857,give me your name,what_is_your_name
878,that i don't know,maybe
890,agreed,yes
902,well hi there,greeting
911,are you actually a person,are_you_a_bot
914,i need to know if you are a bot,are_you_a_bot
934,"that's all, bye",goodbye
951,what you just said is false,no
977,"yo, hows it going",greeting
1006,that is true,yes
1021,and your name is,what_is_your_name
1024,whens your birthday,how_old_are_you
1030,"correct, it is affirmative",yes
1054,facts,yes
1056,what sort of hobbies are you into,what_are_your_hobbies
1058,"yes, that is it",yes
1060,tell me about yourself,what_is_your_name
1073,please specify if you are human or computer,are_you_a_bot
1083,are you a computer or a real person,are_you_a_bot
1091,that's not right it's false,no
1103,are you a computer generated voice,are_you_a_bot
1113,that is actually false,no
1136,great,yes
1168,"i had a pleasure talking to you, see you later",goodbye
1174,it was cool talking with you,goodbye
1189,"ai, what is your given name",what_is_your_name
1205,can't say,maybe
1210,it was great to talk to you,goodbye
1216,that would be a no,no
1254,see ya,goodbye
1260,is this a bot,are_you_a_bot
1262,"how long have you been around, ai",how_old_are_you
1346,any hobbies you like to do,what_are_your_hobbies
1364,not a clue,maybe
1390,"ai, what's your name",what_is_your_name
1426,perhaps,maybe
1432,"no, definitely not",no
1449,are you a bot or a real person,are_you_a_bot
1453,"great chat, talk to you later",goodbye
1475,what are your hobbies exactly,what_are_your_hobbies
1484,sure thing,yes
1490,i want to know how you are doing,greeting
1496,would you consider yourself to be a bot,are_you_a_bot
1534,let me know how you are doing,greeting
1541,possibly,maybe
1542,have you been good,greeting
1547,do you have a birth date,how_old_are_you
1569,what is you name,what_is_your_name
1584,so what do you do at free time,what_are_your_hobbies
1591,would you like to introduce yourself,what_is_your_name
1601,what kinds of things do you do for hobbies,what_are_your_hobbies
1636,"goodbye, ai assistant",goodbye
1656,what should i refer to you as,what_is_your_name
1706,no idea,maybe
1710,are you a human being or a computer,are_you_a_bot
1722,what sorts of things do you do for fun,what_are_your_hobbies
1724,i know it could be either one,maybe
1732,what can i call you,what_is_your_name
1733,would you tell me how old you are,how_old_are_you
1753,how are you this fine day,greeting
1760,"please, no",no
1784,yes please,yes
1799,how long have you been here,how_old_are_you
1800,i like to paint in my free time-do you have any hobbies like that,what_are_your_hobbies
1808,i am unable to say,maybe
1810,"nice talk, talk to you later",goodbye
1812,farewell,goodbye
1854,tell me how you've been,greeting
1861,it is no,no
1873,what hobbies do you have alexa,what_are_your_hobbies
1874,are you a person,are_you_a_bot
1891,what do you do in your down time,what_are_your_hobbies
1929,will you tell me how the ai is doing,greeting
1931,could you tell me how old you are,how_old_are_you
1938,how ya doin,greeting
1942,how many years old are you,how_old_are_you
1976,"yes, that is actually true",yes
1988,how is it going,greeting
1990,talk to you later!,goodbye
1997,whats your name by the way,what_is_your_name
2024,hello,greeting
2036,how've you been,greeting
2063,it is definitely affirmative,yes
2079,i believe what you just said is true,yes
2085,i want to know if you are a real person or an ai,are_you_a_bot
2090,how many years have you been living,how_old_are_you
2091,are you an automated assistance,are_you_a_bot
2098,no way,no
2123,"well, i guess maybe",maybe
2140,are you 16 years old,how_old_are_you
2151,"yes, that's affirmative",yes
2155,"no, you are wrong",no
2169,how old are you today,how_old_are_you
2176,what sorts of things do you do to have a good time,what_are_your_hobbies
2177,that's inaccurate,no
2181,how long have you been around,how_old_are_you
2224,what hobbies do you like,what_are_your_hobbies
